Age,Science,History,Philosophy,Video Games,Art,Psychology,Movies (Storytelling),Technology
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,10,
6,,20,,25,,,13,
7,5,25,,30,,,15,
8,10,30,5,35,5,,18,10
9,15,35,6,45,10,,20,20
10,30,45,7,55,15,,22,25
11,50,60,10,65,20,,30,30
12,60,65,15,75,30,,35,35
13,75,60,20,85,35,5,40,45
14,70,55,25,95,40,10,50,40
15,65,45,35,90,55,25,60,35
16,60,42,38,85,70,50,65,30
17,50,40,43,70,65,75,60,35
18,45,38,45,65,45,85,50,40
19,35,36,42,55,15,83,45,40
20,30,35,43,50,10,82,43,40
21,30,36,45,45,9,78,45,40
22,35,37,50,40,10,80,50,45
23,50,38,55,35,25,82,53,60
24,55,40,60,10,15,85,55,65
25,65,45,65,8,7,88,57,69
26,75,50,68,7,6,90,60,73
27,70,45,70,8,9,88,63,77
28,67,43,73,9,11,85,65,80
29,70,45,75,8,15,83,68,83
30,65,42,73,7,20,90,70,85
31,68,41,72,8,25,80,67,88
